t,v,u,phi
0.0119333333333,-0.978073867487,0.0179577016602,2.29213386576e-05
0.012,-0.988019803637,0.0109200444659,3.50878850858e-05
0.0120666666667,-0.994584767959,0.0144346817026,-1.82857756175e-05
0.0121333333333,-1.00030785798,0.0375502735655,9.70350644492e-05
0.0122,-1.00747892294,0.0672032742202,6.14372665054e-05
0.0122666666667,-1.00560348261,0.0758235203523,-0.000216727729604
0.0123333333333,-1.00659281912,0.0806497523121,-0.000193303977476
0.0124,-1.00727576951,0.0962330921144,7.8662956323e-05
0.0124666666667,-1.00992388695,0.114960130444,-7.65250565161e-05
0.0125333333333,-1.01844804893,0.143600530396,0.00066257865217
0.0126,-1.00507911168,0.146426413836,0.000115015409429
0.0126666666667,-0.997151715552,0.151902709874,7.2118004716e-05
0.0127333333333,-0.998903420403,0.164059203388,0.000171961520344
0.0128,-0.986536316061,0.184001446977,-0.000386577826818
0.0128666666667,-0.982725454628,0.21746806709,-0.000103470209619
0.0129333333333,-0.968594387976,0.228588522513,-0.000374630268524
0.013,-0.956844435981,0.251693037867,-0.000288200126163
0.0130666666667,-0.954236610585,0.271356775026,-3.04767591028e-06
0.0131333333333,-0.943717297543,0.285473547802,6.98873900092e-05
0.0132,-0.929048313574,0.286819175301,4.60465212292e-05
0.0132666666667,-0.916712279189,0.292459727467,0.000140015460881
0.0133333333333,-0.901375097834,0.307684157804,-1.16568201051e-05
